"Hong Kong Exchanges and Clearing Limited and/or its subsidiaries endeavour to ensure the"
"accuracy and reliability of the information provided, but do not guarantee its accuracy and"
"reliability and accept no liability (whether in tort or contract or otherwise) for any loss"
"or damage arising from any inaccuracies or omissions."


"STOCK OPTIONS DAILY MARKET REPORT AS AT 22 MAR 2019"


,,,"SUMMARY TRADING VOLUME",,,"SUMMARY OPEN INTEREST"
"HKATS CODE","UNDERLYING STOCK",,"TOTAL","CALLS","PUTS","TOTAL","CALLS","PUTS","IV%*"
APR19,17.50,C,0.00,0.00,0.00,0.01,0.00,29,0,362,0
APR19,18.00,C,0.00,0.00,0.00,0.01,0.00,32,0,157,0
APR19,18.50,C,0.00,0.00,0.00,0.01,0.00,36,0,31,0
APR19,19.00,C,0.00,0.00,0.00,0.01,0.00,39,0,80,0
APR19,19.50,C,0.00,0.00,0.00,0.01,0.00,42,0,30,0
APR19,20.00,C,0.00,0.00,0.00,0.01,0.00,45,0,227,0
APR19,21.00,C,0.00,0.00,0.00,0.01,0.00,50,0,0,0
MAY19,8.25,C,0.00,0.00,0.00,6.11,-0.02,0,0,0,0
MAY19,8.50,C,0.00,0.00,0.00,5.86,-0.02,0,0,0,0
MAY19,8.75,C,0.00,0.00,0.00,5.61,-0.02,0,0,0,0
MAY19,9.00,C,0.00,0.00,0.00,5.36,-0.02,0,0,0,0
MAY19,9.25,C,0.00,0.00,0.00,5.12,-0.02,41,0,0,0
MAY19,9.50,C,0.00,0.00,0.00,4.87,-0.02,38,0,0,0
MAY19,9.75,C,0.00,0.00,0.00,4.62,-0.02,35,0,0,0
MAY19,10.00,C,0.00,0.00,0.00,4.37,-0.02,32,0,0,0
MAY19,10.50,C,0.00,0.00,0.00,3.87,-0.02,26,0,0,0
MAY19,11.00,C,0.00,0.00,0.00,3.37,-0.02,0,0,0,0
MAY19,11.50,C,0.00,0.00,0.00,2.88,-0.02,24,0,0,0
MAY19,12.00,C,0.00,0.00,0.00,2.39,-0.02,22,0,2,0
MAY19,12.50,C,0.00,0.00,0.00,1.92,-0.02,22,0,0,0
MAY19,13.00,C,0.00,0.00,0.00,1.48,-0.03,22,0,34,0
MAY19,13.50,C,0.00,0.00,0.00,1.09,-0.03,22,0,187,0
MAY19,14.00,C,0.00,0.00,0.00,0.76,-0.03,22,0,1929,0
MAY19,14.50,C,0.48,0.48,0.46,0.50,-0.02,22,265,1150,+211
MAY19,15.00,C,0.32,0.32,0.31,0.32,-0.03,22,309,1283,+283
MAY19,15.50,C,0.21,0.21,0.21,0.19,-0.02,22,4,263,+4
MAY19,16.00,C,0.00,0.00,0.00,0.11,-0.01,22,0,2812,0
MAY19,16.50,C,0.00,0.00,0.00,0.06,-0.01,23,0,103,0
MAY19,17.00,C,0.00,0.00,0.00,0.03,-0.01,22,0,130,0
MAY19,17.50,C,0.00,0.00,0.00,0.02,0.00,24,0,58,0
MAY19,18.00,C,0.03,0.03,0.03,0.01,0.00,24,1,43,+1
MAY19,18.50,C,0.00,0.00,0.00,0.01,0.00,26,0,128,0
MAY19,19.00,C,0.02,0.02,0.02,0.01,0.00,29,4,102,-4
MAY19,19.50,C,0.00,0.00,0.00,0.01,0.00,31,0,0,0
MAY19,20.00,C,0.00,0.00,0.00,0.01,0.00,33,0,373,0
MAY19,21.00,C,0.00,0.00,0.00,0.01,0.00,37,0,49,0
JUN19,7.50,C,0.00,0.00,0.00,6.87,-0.02,43,0,0,0
JUN19,7.75,C,0.00,0.00,0.00,6.62,-0.02,35,0,0,0
JUN19,8.00,C,0.00,0.00,0.00,6.37,-0.02,0,0,0,0
JUN19,8.25,C,0.00,0.00,0.00,6.12,-0.02,0,0,0,0
JUN19,8.50,C,0.00,0.00,0.00,5.87,-0.02,0,0,0,0
JUN19,8.75,C,0.00,0.00,0.00,5.62,-0.02,0,0,0,0
JUN19,9.00,C,0.00,0.00,0.00,5.37,-0.02,0,0,0,0
JUN19,9.25,C,0.00,0.00,0.00,5.13,-0.02,34,0,0,0
JUN19,9.50,C,0.00,0.00,0.00,4.88,-0.02,31,0,0,0
JUN19,9.75,C,0.00,0.00,0.00,4.63,-0.02,28,0,0,0
JUN19,10.00,C,0.00,0.00,0.00,4.38,-0.02,25,0,1,0
JUN19,10.50,C,0.00,0.00,0.00,3.88,-0.02,0,0,3,0
JUN19,11.00,C,0.00,0.00,0.00,3.39,-0.02,23,0,115,0
JUN19,11.50,C,0.00,0.00,0.00,2.90,-0.02,22,0,79,0
JUN19,12.00,C,0.00,0.00,0.00,2.43,-0.02,23,0,81,0
JUN19,12.50,C,0.00,0.00,0.00,1.98,-0.02,23,0,75,0
JUN19,13.00,C,0.00,0.00,0.00,1.56,-0.02,22,0,88,0
JUN19,13.50,C,1.17,1.17,1.17,1.18,-0.02,22,1,306,0
JUN19,14.00,C,0.00,0.00,0.00,0.87,-0.02,22,0,872,0
JUN19,14.50,C,0.00,0.00,0.00,0.61,-0.03,22,0,622,0
JUN19,15.00,C,0.00,0.00,0.00,0.43,-0.03,22,0,749,0
JUN19,15.50,C,0.29,0.29,0.29,0.29,-0.02,23,30,345,0
JUN19,16.00,C,0.00,0.00,0.00,0.18,-0.02,22,0,283,0
JUN19,16.50,C,0.00,0.00,0.00,0.11,-0.01,22,0,241,0
JUN19,17.00,C,0.00,0.00,0.00,0.07,-0.01,23,0,71,0
JUN19,17.50,C,0.08,0.08,0.08,0.04,-0.01,23,1,79,+1
JUN19,18.00,C,0.00,0.00,0.00,0.03,0.00,24,0,85,0
JUN19,18.50,C,0.00,0.00,0.00,0.02,0.00,24,0,110,0
JUN19,19.00,C,0.00,0.00,0.00,0.01,0.00,24,0,25,0
JUN19,19.50,C,0.00,0.00,0.00,0.01,0.00,26,0,115,0
JUN19,20.00,C,0.00,0.00,0.00,0.01,0.00,28,0,191,0
JUN19,21.00,C,0.00,0.00,0.00,0.01,0.00,31,0,40,0
JUN19,22.00,C,0.00,0.00,0.00,0.01,0.00,34,0,214,0
SEP19,7.50,C,0.00,0.00,0.00,6.90,-0.02,35,0,0,0
SEP19,7.75,C,0.00,0.00,0.00,6.65,-0.02,31,0,0,0
SEP19,8.00,C,0.00,0.00,0.00,6.40,-0.02,24,0,0,0
SEP19,8.25,C,0.00,0.00,0.00,6.15,-0.02,0,0,0,0
SEP19,8.50,C,0.00,0.00,0.00,5.90,-0.02,0,0,0,0
SEP19,8.75,C,0.00,0.00,0.00,5.66,-0.02,27,0,0,0
