"Hong Kong Exchanges and Clearing Limited and/or its subsidiaries endeavour to ensure the"
"accuracy and reliability of the information provided, but do not guarantee its accuracy and"
"reliability and accept no liability (whether in tort or contract or otherwise) for any loss"
"or damage arising from any inaccuracies or omissions."


"STOCK OPTIONS DAILY MARKET REPORT AS AT 22 MAR 2019"


,,,"SUMMARY TRADING VOLUME",,,"SUMMARY OPEN INTEREST"
"HKATS CODE","UNDERLYING STOCK",,"TOTAL","CALLS","PUTS","TOTAL","CALLS","PUTS","IV%*"
JUN19,17.00,P,0.00,0.00,0.00,0.08,+0.02,12,0,196,0
JUN19,17.50,P,0.20,0.20,0.19,0.18,+0.03,11,51,251,-49
JUN19,18.00,P,0.39,0.39,0.39,0.37,+0.05,11,1,1257,+1
JUN19,18.50,P,0.00,0.00,0.00,0.65,+0.07,12,0,55,0
JUN19,19.00,P,0.98,1.06,0.98,1.02,+0.07,12,5,83,+5
JUN19,19.50,P,0.00,0.00,0.00,1.41,+0.07,11,0,0,0
JUN19,20.00,P,0.00,0.00,0.00,1.88,+0.08,12,0,0,0
JUN19,21.00,P,0.00,0.00,0.00,2.85,+0.08,0,0,0,0
JUN19,22.00,P,0.00,0.00,0.00,3.85,+0.08,14,0,0,0
JUN19,23.00,P,0.00,0.00,0.00,4.85,+0.08,19,0,0,0
JUN19,24.00,P,0.00,0.00,0.00,5.84,+0.08,0,0,0,0
JUN19,25.00,P,0.00,0.00,0.00,6.84,+0.08,0,0,0,0
JUN19,26.00,P,0.00,0.00,0.00,7.84,+0.08,26,0,0,0
SEP19,10.00,P,0.00,0.00,0.00,0.01,0.00,35,0,0,0
SEP19,10.50,P,0.00,0.00,0.00,0.01,0.00,32,0,0,0
SEP19,11.00,P,0.00,0.00,0.00,0.01,0.00,30,0,0,0
SEP19,11.50,P,0.00,0.00,0.00,0.01,0.00,27,0,0,0
SEP19,12.00,P,0.00,0.00,0.00,0.01,0.00,25,0,70,0
SEP19,12.50,P,0.00,0.00,0.00,0.01,0.00,23,0,0,0
SEP19,13.00,P,0.00,0.00,0.00,0.01,0.00,21,0,21,0
SEP19,13.50,P,0.00,0.00,0.00,0.01,0.00,18,0,8,0
SEP19,14.00,P,0.00,0.00,0.00,0.01,0.00,16,0,310,0
SEP19,14.50,P,0.00,0.00,0.00,0.01,0.00,14,0,26,0
SEP19,15.00,P,0.00,0.00,0.00,0.01,0.00,12,0,21,0
SEP19,15.50,P,0.00,0.00,0.00,0.02,0.00,12,0,21,0
SEP19,16.00,P,0.00,0.00,0.00,0.06,+0.01,13,0,200,0
SEP19,16.50,P,0.00,0.00,0.00,0.11,+0.02,12,0,150,0
SEP19,17.00,P,0.00,0.00,0.00,0.21,+0.03,12,0,107,0
SEP19,17.50,P,0.00,0.00,0.00,0.36,+0.04,12,0,90,0
SEP19,18.00,P,0.00,0.00,0.00,0.56,+0.04,12,0,44,0
SEP19,18.50,P,0.00,0.00,0.00,0.84,+0.06,12,0,38,0
SEP19,19.00,P,0.00,0.00,0.00,1.14,+0.07,12,0,0,0
SEP19,19.50,P,0.00,0.00,0.00,1.52,+0.07,12,0,0,0
SEP19,20.00,P,0.00,0.00,0.00,1.94,+0.07,12,0,0,0
SEP19,21.00,P,0.00,0.00,0.00,2.87,+0.08,12,0,0,0
SEP19,22.00,P,0.00,0.00,0.00,3.85,+0.08,11,0,0,0
SEP19,23.00,P,0.00,0.00,0.00,4.85,+0.08,15,0,0,0
SEP19,24.00,P,0.00,0.00,0.00,5.84,+0.08,0,0,0,0
SEP19,25.00,P,0.00,0.00,0.00,6.84,+0.08,0,0,0,0
SEP19,26.00,P,0.00,0.00,0.00,7.84,+0.08,20,0,0,0
DEC19,11.00,P,0.00,0.00,0.00,0.01,0.00,24,0,0,0
DEC19,11.50,P,0.00,0.00,0.00,0.01,0.00,22,0,0,0
DEC19,12.00,P,0.00,0.00,0.00,0.01,0.00,20,0,13,0
DEC19,12.50,P,0.00,0.00,0.00,0.01,0.00,19,0,0,0
DEC19,13.00,P,0.00,0.00,0.00,0.01,0.00,17,0,20,0
DEC19,13.50,P,0.00,0.00,0.00,0.01,0.00,15,0,20,0
DEC19,14.00,P,0.00,0.00,0.00,0.01,0.00,13,0,20,0
DEC19,14.50,P,0.00,0.00,0.00,0.01,0.00,12,0,1,0
DEC19,15.00,P,0.00,0.00,0.00,0.03,+0.01,12,0,32,0
DEC19,15.50,P,0.00,0.00,0.00,0.05,0.00,12,0,154,0
DEC19,16.00,P,0.00,0.00,0.00,0.11,+0.01,12,0,232,0
DEC19,16.50,P,0.00,0.00,0.00,0.19,+0.02,12,0,290,0
DEC19,17.00,P,0.00,0.00,0.00,0.30,+0.02,12,0,325,0
DEC19,17.50,P,0.00,0.00,0.00,0.47,+0.03,12,0,50,0
DEC19,18.00,P,0.00,0.00,0.00,0.68,+0.04,12,0,0,0
DEC19,18.50,P,0.00,0.00,0.00,0.95,+0.05,12,0,35,0
DEC19,19.00,P,0.00,0.00,0.00,1.24,+0.06,12,0,0,0
DEC19,19.50,P,0.00,0.00,0.00,1.60,+0.06,12,0,0,0
DEC19,20.00,P,0.00,0.00,0.00,2.00,+0.07,12,0,0,0
DEC19,21.00,P,0.00,0.00,0.00,2.89,+0.07,12,0,0,0
DEC19,22.00,P,0.00,0.00,0.00,3.86,+0.08,12,0,0,0
DEC19,23.00,P,0.00,0.00,0.00,4.85,+0.08,13,0,0,0
DEC19,24.00,P,0.00,0.00,0.00,5.84,+0.08,0,0,0,0
DEC19,25.00,P,0.00,0.00,0.00,6.84,+0.08,15,0,0,0
DEC19,26.00,P,0.00,0.00,0.00,7.84,+0.08,19,0,0,0
MAR20,13.50,P,0.00,0.00,0.00,0.01,0.00,13,0,0,0
MAR20,14.00,P,0.00,0.00,0.00,0.02,+0.01,13,0,0,0
MAR20,14.50,P,0.00,0.00,0.00,0.03,0.00,12,0,0,0
MAR20,15.00,P,0.00,0.00,0.00,0.06,+0.01,13,0,0,0
MAR20,15.50,P,0.00,0.00,0.00,0.10,+0.01,12,0,6,0
MAR20,16.00,P,0.00,0.00,0.00,0.18,+0.02,13,0,45,0
MAR20,16.50,P,0.23,0.23,0.23,0.27,+0.01,12,10,16,+10
MAR20,17.00,P,0.00,0.00,0.00,0.40,+0.01,12,0,34,0
MAR20,17.50,P,0.54,0.54,0.54,0.57,+0.02,12,2,32,+2
MAR20,18.00,P,0.00,0.00,0.00,0.79,+0.02,12,0,30,0
MAR20,18.50,P,0.00,0.00,0.00,1.07,+0.04,13,0,37,0
MAR20,19.00,P,0.00,0.00,0.00,1.36,+0.06,13,0,1,0
MAR20,19.50,P,0.00,0.00,0.00,1.70,+0.06,12,0,0,0
MAR20,20.00,P,0.00,0.00,0.00,2.08,+0.07,12,0,0,0
MAR20,21.00,P,0.00,0.00,0.00,2.94,+0.08,13,0,0,0
MAR20,22.00,P,0.00,0.00,0.00,3.87,+0.08,12,0,0,0
MAR20,23.00,P,0.00,0.00,0.00,4.85,+0.08,13,0,0,0
MAR20,24.00,P,0.00,0.00,0.00,5.84,+0.08,0,0,0,0
MAR20,25.00,P,0.00,0.00,0.00,6.84,+0.08,14,0,0,0
MAR20,26.00,P,0.00,0.00,0.00,7.84,+0.08,17,0,0,0

,,,,,,,"TOTAL PUT",,304,21948,-4


"CONTRACT",,,"OPENING PRICE#","DAILY HIGH#","DAILY LOW#","SETTLEMENT PRICE","CHANGE IN SETTLEMENT","IV%","VOLUME","OPEN INTEREST","CHANGE IN OI"
                                                                                            
"CLASS HLA - HLD (ADJ-A)",,,"CLOSING PRICE HK$   47.65"

MAR19,36.36,C,0.00,0.00,0.00,11.30,+0.45,69,0,0,0
MAR19,37.27,C,0.00,0.00,0.00,10.39,+0.45,63,0,0,0
MAR19,38.18,C,0.00,0.00,0.00,9.48,+0.45,56,0,0,0
MAR19,39.09,C,0.00,0.00,0.00,8.57,+0.45,49,0,0,0
MAR19,40.00,C,0.00,0.00,0.00,7.66,+0.45,42,0,0,0
MAR19,40.91,C,0.00,0.00,0.00,6.75,+0.45,35,0,0,0
MAR19,41.82,C,0.00,0.00,0.00,5.84,+0.45,27,0,0,0
MAR19,42.73,C,0.00,0.00,0.00,4.93,+0.45,0,0,7,0
MAR19,43.64,C,0.00,0.00,0.00,4.02,+0.45,0,0,25,0
MAR19,44.55,C,0.00,0.00,0.00,3.11,+0.45,0,0,78,0
MAR19,45.46,C,0.00,0.00,0.00,2.20,+0.43,0,0,52,0
MAR19,47.73,C,0.30,0.30,0.30,0.31,+0.09,14,50,81,+50
MAR19,50.00,C,0.00,0.00,0.00,0.01,0.00,18,0,0,0
MAR19,52.27,C,0.00,0.00,0.00,0.01,0.00,32,0,1,0
MAR19,54.55,C,0.00,0.00,0.00,0.01,0.00,45,0,5,0
MAR19,56.82,C,0.00,0.00,0.00,0.01,0.00,56,0,3,0
MAR19,59.09,C,0.00,0.00,0.00,0.01,0.00,67,0,0,0
MAR19,61.36,C,0.00,0.00,0.00,0.01,0.00,78,0,30,0
MAR19,63.64,C,0.00,0.00,0.00,0.01,0.00,87,0,0,0
MAR19,65.91,C,0.00,0.00,0.00,0.01,0.00,97,0,1,0
MAR19,68.18,C,0.00,0.00,0.00,0.01,0.00,105,0,0,0
JUN19,37.27,C,0.00,0.00,0.00,10.48,+0.45,0,0,0,0
JUN19,38.18,C,0.00,0.00,0.00,9.57,+0.44,0,0,0,0
JUN19,39.09,C,0.00,0.00,0.00,8.67,+0.45,17,0,0,0
JUN19,40.00,C,0.00,0.00,0.00,7.76,+0.44,13,0,0,0
JUN19,40.91,C,0.00,0.00,0.00,6.86,+0.44,15,0,0,0
JUN19,41.82,C,0.00,0.00,0.00,5.97,+0.42,15,0,0,0
JUN19,42.73,C,0.00,0.00,0.00,5.10,+0.41,15,0,0,0
JUN19,43.64,C,0.00,0.00,0.00,4.27,+0.39,15,0,0,0
JUN19,44.55,C,0.00,0.00,0.00,3.48,+0.35,15,0,25,0
JUN19,45.46,C,0.00,0.00,0.00,2.76,+0.30,15,0,39,0
JUN19,47.73,C,0.00,0.00,0.00,1.36,+0.16,15,0,18,0
JUN19,50.00,C,0.00,0.00,0.00,0.56,+0.09,16,0,0,0
JUN19,52.27,C,0.00,0.00,0.00,0.18,+0.03,15,0,0,0
JUN19,54.55,C,0.00,0.00,0.00,0.05,0.00,16,0,15,0
JUN19,56.82,C,0.00,0.00,0.00,0.01,0.00,15,0,0,0
JUN19,59.09,C,0.00,0.00,0.00,0.01,0.00,18,0,0,0
JUN19,61.36,C,0.00,0.00,0.00,0.01,0.00,21,0,0,0
JUN19,63.64,C,0.00,0.00,0.00,0.01,0.00,23,0,0,0
JUN19,65.91,C,0.00,0.00,0.00,0.01,0.00,25,0,0,0
JUN19,68.18,C,0.00,0.00,0.00,0.01,0.00,28,0,0,0

,,,,,,,"TOTAL CALL",,50,380,+50

MAR19,36.36,P,0.00,0.00,0.00,0.01,0.00,85,0,0,0
MAR19,37.27,P,0.00,0.00,0.00,0.01,0.00,78,0,32,0
MAR19,38.18,P,0.00,0.00,0.00,0.01,0.00,72,0,48,0
MAR19,39.09,P,0.00,0.00,0.00,0.01,0.00,64,0,5,0
MAR19,40.00,P,0.00,0.00,0.00,0.01,0.00,58,0,9,0
MAR19,40.91,P,0.00,0.00,0.00,0.01,0.00,51,0,17,0
MAR19,41.82,P,0.00,0.00,0.00,0.01,0.00,44,0,49,0
MAR19,42.73,P,0.00,0.00,0.00,0.01,0.00,38,0,42,0
MAR19,43.64,P,0.00,0.00,0.00,0.01,0.00,31,0,37,0
MAR19,44.55,P,0.00,0.00,0.00,0.01,0.00,25,0,69,0
MAR19,45.46,P,0.00,0.00,0.00,0.01,-0.02,18,0,45,0
MAR19,47.73,P,0.00,0.00,0.00,0.40,-0.34,14,0,15,0
MAR19,50.00,P,0.00,0.00,0.00,2.35,-0.45,0,0,1,0
MAR19,52.27,P,0.00,0.00,0.00,4.62,-0.45,0,0,0,0
MAR19,54.55,P,0.00,0.00,0.00,6.90,-0.45,0,0,0,0
MAR19,56.82,P,0.00,0.00,0.00,9.17,-0.45,0,0,0,0
MAR19,59.09,P,0.00,0.00,0.00,11.44,-0.45,0,0,0,0
MAR19,61.36,P,0.00,0.00,0.00,13.71,-0.45,0,0,0,0
MAR19,63.64,P,0.00,0.00,0.00,15.99,-0.45,0,0,0,0
MAR19,65.91,P,0.00,0.00,0.00,18.26,-0.45,0,0,0,0
MAR19,68.18,P,0.00,0.00,0.00,20.53,-0.45,0,0,0,0
JUN19,37.27,P,0.00,0.00,0.00,0.01,0.00,17,0,0,0
JUN19,38.18,P,0.00,0.00,0.00,0.01,-0.01,16,0,0,0
JUN19,39.09,P,0.00,0.00,0.00,0.03,0.00,16,0,0,0
JUN19,40.00,P,0.00,0.00,0.00,0.05,-0.02,16,0,1,0
JUN19,40.91,P,0.00,0.00,0.00,0.09,-0.04,15,0,0,0
JUN19,41.82,P,0.00,0.00,0.00,0.16,-0.07,15,0,0,0
JUN19,42.73,P,0.00,0.00,0.00,0.28,-0.10,15,0,0,0
JUN19,43.64,P,0.00,0.00,0.00,0.47,-0.14,16,0,0,0
JUN19,44.55,P,0.00,0.00,0.00,0.73,-0.17,16,0,0,0
JUN19,45.46,P,0.00,0.00,0.00,1.06,-0.19,16,0,30,0
JUN19,47.73,P,0.00,0.00,0.00,2.25,-0.26,16,0,0,0
JUN19,50.00,P,0.00,0.00,0.00,3.90,-0.39,15,0,0,0
JUN19,52.27,P,0.00,0.00,0.00,5.90,-0.43,15,0,0,0
JUN19,54.55,P,0.00,0.00,0.00,8.08,-0.44,15,0,0,0
JUN19,56.82,P,0.00,0.00,0.00,10.32,-0.44,16,0,0,0
JUN19,59.09,P,0.00,0.00,0.00,12.57,-0.45,0,0,0,0
JUN19,61.36,P,0.00,0.00,0.00,14.84,-0.44,19,0,0,0
JUN19,63.64,P,0.00,0.00,0.00,17.11,-0.45,0,0,0,0
JUN19,65.91,P,0.00,0.00,0.00,19.37,-0.45,0,0,0,0
JUN19,68.18,P,0.00,0.00,0.00,21.64,-0.45,25,0,0,0

,,,,,,,"TOTAL PUT",,0,400,0


"CONTRACT",,,"OPENING PRICE#","DAILY HIGH#","DAILY LOW#","SETTLEMENT PRICE","CHANGE IN SETTLEMENT","IV%","VOLUME","OPEN INTEREST","CHANGE IN OI"
                                                                                            
"CLASS HLD - HENDERSON LAND DEV LTD",,,"CLOSING PRICE HK$   47.65"

MAR19,27.00,C,0.00,0.00,0.00,20.66,+0.45,151,0,0,0
MAR19,28.00,C,0.00,0.00,0.00,19.66,+0.45,141,0,0,0
MAR19,29.00,C,0.00,0.00,0.00,18.66,+0.45,132,0,0,0
MAR19,30.00,C,0.00,0.00,0.00,17.66,+0.45,123,0,0,0
MAR19,31.00,C,0.00,0.00,0.00,16.66,+0.45,113,0,0,0
MAR19,32.00,C,0.00,0.00,0.00,15.66,+0.45,105,0,0,0
MAR19,33.00,C,0.00,0.00,0.00,14.66,+0.45,96,0,0,0
MAR19,34.00,C,0.00,0.00,0.00,13.66,+0.45,88,0,0,0
MAR19,35.00,C,0.00,0.00,0.00,12.66,+0.45,80,0,0,0
MAR19,36.00,C,0.00,0.00,0.00,11.66,+0.45,72,0,0,0
MAR19,37.00,C,0.00,0.00,0.00,10.66,+0.45,65,0,15,0
MAR19,38.00,C,0.00,0.00,0.00,9.66,+0.45,57,0,32,0
MAR19,39.00,C,0.00,0.00,0.00,8.66,+0.45,50,0,120,0
MAR19,40.00,C,0.00,0.00,0.00,7.66,+0.45,42,0,88,0
MAR19,41.00,C,0.00,0.00,0.00,6.66,+0.45,35,0,94,0
MAR19,42.00,C,0.00,0.00,0.00,5.66,+0.45,0,0,214,0
MAR19,43.00,C,4.36,4.36,4.36,4.66,+0.45,0,3,120,0
MAR19,44.00,C,0.00,0.00,0.00,3.66,+0.45,0,0,278,0
MAR19,45.00,C,2.70,2.70,2.55,2.66,+0.45,0,3,271,0
MAR19,46.00,C,1.83,1.83,1.37,1.67,+0.38,14,10,329,-9
MAR19,47.00,C,0.85,0.85,0.54,0.77,+0.27,14,14,328,-10
MAR19,48.00,C,0.42,0.42,0.21,0.22,+0.11,14,53,127,-17
MAR19,49.00,C,0.12,0.12,0.05,0.04,+0.02,15,50,91,0
MAR19,50.00,C,0.00,0.00,0.00,0.01,0.00,18,0,81,0
MAR19,52.50,C,0.00,0.00,0.00,0.01,0.00,33,0,100,0
MAR19,55.00,C,0.00,0.00,0.00,0.01,0.00,47,0,0,0
MAR19,57.50,C,0.00,0.00,0.00,0.01,0.00,60,0,0,0
MAR19,60.00,C,0.00,0.00,0.00,0.01,0.00,71,0,0,0
MAR19,62.50,C,0.00,0.00,0.00,0.01,0.00,82,0,50,0
MAR19,65.00,C,0.00,0.00,0.00,0.01,0.00,93,0,0,0
MAR19,67.50,C,0.00,0.00,0.00,0.01,0.00,103,0,0,0
APR19,29.00,C,0.00,0.00,0.00,18.69,+0.45,0,0,0,0
APR19,30.00,C,0.00,0.00,0.00,17.70,+0.45,51,0,0,0
APR19,31.00,C,0.00,0.00,0.00,16.70,+0.45,46,0,0,0
APR19,32.00,C,0.00,0.00,0.00,15.70,+0.45,40,0,0,0
APR19,33.00,C,0.00,0.00,0.00,14.70,+0.45,32,0,0,0
APR19,34.00,C,0.00,0.00,0.00,13.70,+0.45,0,0,0,0
APR19,35.00,C,0.00,0.00,0.00,12.70,+0.45,0,0,0,0
APR19,36.00,C,0.00,0.00,0.00,11.70,+0.44,0,0,0,0
APR19,37.00,C,0.00,0.00,0.00,10.71,+0.45,29,0,0,0
APR19,38.00,C,0.00,0.00,0.00,9.71,+0.45,25,0,0,0
APR19,39.00,C,0.00,0.00,0.00,8.71,+0.45,20,0,30,0
APR19,40.00,C,0.00,0.00,0.00,7.71,+0.45,0,0,0,0
APR19,41.00,C,0.00,0.00,0.00,6.71,+0.45,0,0,15,0
APR19,42.00,C,0.00,0.00,0.00,5.71,+0.44,0,0,43,0
APR19,43.00,C,0.00,0.00,0.00,4.72,+0.43,13,0,33,0
APR19,44.00,C,0.00,0.00,0.00,3.75,+0.42,14,0,143,0
APR19,45.00,C,2.74,2.74,2.74,2.82,+0.37,14,4,163,0
APR19,46.00,C,1.90,1.90,1.90,1.93,+0.25,13,1,170,0
APR19,47.00,C,0.00,0.00,0.00,1.23,+0.20,13,0,111,0
APR19,48.00,C,0.86,0.99,0.60,0.71,+0.13,13,344,180,+104
APR19,49.00,C,0.49,0.49,0.31,0.37,+0.07,13,15,100,-1
APR19,50.00,C,0.24,0.24,0.16,0.17,+0.02,13,45,131,+6
APR19,52.50,C,0.00,0.00,0.00,0.02,0.00,14,0,68,0
APR19,55.00,C,0.00,0.00,0.00,0.01,0.00,18,0,10,0
APR19,57.50,C,0.00,0.00,0.00,0.01,0.00,23,0,0,0
APR19,60.00,C,0.00,0.00,0.00,0.01,0.00,28,0,0,0
APR19,62.50,C,0.00,0.00,0.00,0.01,0.00,32,0,0,0
APR19,65.00,C,0.00,0.00,0.00,0.01,-,36,0,0,-
MAY19,35.00,C,0.00,0.00,0.00,12.74,+0.44,0,0,0,0
MAY19,36.00,C,0.00,0.00,0.00,11.75,+0.45,23,0,0,0
MAY19,37.00,C,0.00,0.00,0.00,10.75,+0.45,0,0,0,0
MAY19,38.00,C,0.00,0.00,0.00,9.75,+0.45,0,0,0,0
MAY19,39.00,C,0.00,0.00,0.00,8.76,+0.45,18,0,0,0
MAY19,40.00,C,0.00,0.00,0.00,7.76,+0.44,14,0,1,0
MAY19,41.00,C,0.00,0.00,0.00,6.77,+0.44,15,0,1,0
MAY19,42.00,C,0.00,0.00,0.00,5.79,+0.43,15,0,0,0
MAY19,43.00,C,0.00,0.00,0.00,4.84,+0.42,15,0,244,0
MAY19,44.00,C,0.00,0.00,0.00,3.92,+0.38,15,0,31,0
MAY19,45.00,C,3.46,3.46,3.46,3.06,+0.25,15,3,106,0
MAY19,46.00,C,0.00,0.00,0.00,2.30,+0.22,15,0,81,0
MAY19,47.00,C,0.00,0.00,0.00,1.64,+0.18,15,0,51,0
MAY19,48.00,C,0.00,0.00,0.00,1.12,+0.13,15,0,75,0
MAY19,49.00,C,0.00,0.00,0.00,0.74,+0.11,15,0,49,0
MAY19,50.00,C,0.00,0.00,0.00,0.48,+0.08,15,0,66,0
MAY19,52.50,C,0.22,0.22,0.19,0.12,+0.02,15,79,158,+62
MAY19,55.00,C,0.10,0.10,0.10,0.03,+0.01,16,2,2,+2
MAY19,57.50,C,0.00,0.00,0.00,0.01,0.00,18,0,0,0
MAY19,60.00,C,0.02,0.02,0.02,0.01,0.00,21,58,58,+58
MAY19,62.50,C,0.00,0.00,0.00,0.01,0.00,25,0,0,0
MAY19,65.00,C,0.00,0.00,0.00,0.01,-,28,0,0,-
JUN19,27.00,C,0.00,0.00,0.00,20.72,+0.45,0,0,0,0
JUN19,28.00,C,0.00,0.00,0.00,19.73,+0.45,42,0,0,0
JUN19,29.00,C,0.00,0.00,0.00,18.73,+0.45,35,0,0,0
JUN19,30.00,C,0.00,0.00,0.00,17.73,+0.45,0,0,0,0
JUN19,31.00,C,0.00,0.00,0.00,16.73,+0.44,0,0,0,0
JUN19,32.00,C,0.00,0.00,0.00,15.74,+0.45,31,0,0,0
JUN19,33.00,C,0.00,0.00,0.00,14.74,+0.45,0,0,0,0
JUN19,34.00,C,0.00,0.00,0.00,13.74,+0.45,0,0,0,0
JUN19,35.00,C,0.00,0.00,0.00,12.75,+0.45,26,0,0,0
JUN19,36.00,C,0.00,0.00,0.00,11.75,+0.45,22,0,0,0
JUN19,37.00,C,0.00,0.00,0.00,10.75,+0.45,0,0,1,0
JUN19,38.00,C,0.00,0.00,0.00,9.75,+0.44,0,0,75,0
JUN19,39.00,C,0.00,0.00,0.00,8.76,+0.45,17,0,10,0
JUN19,40.00,C,0.00,0.00,0.00,7.76,+0.44,13,0,20,0
JUN19,41.00,C,0.00,0.00,0.00,6.78,+0.44,16,0,3,0
JUN19,42.00,C,0.00,0.00,0.00,5.81,+0.44,16,0,63,0
JUN19,43.00,C,0.00,0.00,0.00,4.86,+0.41,16,0,1030,0
JUN19,44.00,C,0.00,0.00,0.00,4.00,+0.42,17,0,23,0
JUN19,45.00,C,0.00,0.00,0.00,3.14,+0.26,16,0,44,0
JUN19,46.00,C,0.00,0.00,0.00,2.39,+0.22,16,0,71,0
JUN19,47.00,C,0.00,0.00,0.00,1.75,+0.24,15,0,9,0
JUN19,48.00,C,1.25,1.25,1.25,1.23,+0.15,15,1,76,0
JUN19,49.00,C,0.87,0.87,0.87,0.85,+0.12,16,33,38,-18
JUN19,50.00,C,0.57,0.57,0.57,0.59,+0.11,16,10,12,+10
JUN19,52.50,C,0.00,0.00,0.00,0.18,+0.04,16,0,20,0
JUN19,55.00,C,0.00,0.00,0.00,0.05,+0.01,16,0,0,0
JUN19,57.50,C,0.00,0.00,0.00,0.01,0.00,16,0,0,0
JUN19,60.00,C,0.00,0.00,0.00,0.01,0.00,19,0,0,0
JUN19,62.50,C,0.00,0.00,0.00,0.01,0.00,22,0,0,0
JUN19,65.00,C,0.00,0.00,0.00,0.01,0.00,24,0,0,0
JUN19,67.50,C,0.00,0.00,0.00,0.01,0.00,27,0,0,0
SEP19,27.00,C,0.00,0.00,0.00,20.72,+0.45,0,0,0,0
SEP19,28.00,C,0.00,0.00,0.00,19.73,+0.45,37,0,0,0
SEP19,29.00,C,0.00,0.00,0.00,18.73,+0.45,33,0,0,0
SEP19,30.00,C,0.00,0.00,0.00,17.73,+0.45,0,0,0,0
SEP19,31.00,C,0.00,0.00,0.00,16.73,+0.44,0,0,0,0
SEP19,32.00,C,0.00,0.00,0.00,15.74,+0.45,28,0,0,0
SEP19,33.00,C,0.00,0.00,0.00,14.74,+0.45,24,0,0,0
SEP19,34.00,C,0.00,0.00,0.00,13.74,+0.45,0,0,0,0
SEP19,35.00,C,0.00,0.00,0.00,12.75,+0.45,23,0,2,0
SEP19,36.00,C,0.00,0.00,0.00,11.75,+0.45,20,0,0,0
SEP19,37.00,C,0.00,0.00,0.00,10.75,+0.45,15,0,0,0
SEP19,38.00,C,0.00,0.00,0.00,9.76,+0.45,18,0,35,0
SEP19,39.00,C,0.00,0.00,0.00,8.77,+0.45,17,0,1,0
SEP19,40.00,C,0.00,0.00,0.00,7.79,+0.44,17,0,68,0
SEP19,41.00,C,0.00,0.00,0.00,6.84,+0.44,17,0,2,0
SEP19,42.00,C,0.00,0.00,0.00,5.92,+0.42,17,0,15,0
SEP19,43.00,C,0.00,0.00,0.00,5.05,+0.40,17,0,1,0
SEP19,44.00,C,0.00,0.00,0.00,4.25,+0.38,17,0,3,0
SEP19,45.00,C,0.00,0.00,0.00,3.48,+0.25,17,0,2,0
SEP19,46.00,C,0.00,0.00,0.00,2.81,+0.20,17,0,71,0
SEP19,47.00,C,0.00,0.00,0.00,2.28,+0.21,17,0,0,0
SEP19,48.00,C,0.00,0.00,0.00,1.83,+0.20,17,0,22,0
SEP19,49.00,C,0.00,0.00,0.00,1.45,+0.19,17,0,1,0
SEP19,50.00,C,0.00,0.00,0.00,1.14,+0.16,17,0,1,0
SEP19,52.50,C,0.00,0.00,0.00,0.60,+0.11,17,0,23,0
SEP19,55.00,C,0.00,0.00,0.00,0.30,+0.05,17,0,0,0
SEP19,57.50,C,0.00,0.00,0.00,0.15,+0.05,17,0,0,0
SEP19,60.00,C,0.00,0.00,0.00,0.06,+0.02,17,0,0,0
SEP19,62.50,C,0.00,0.00,0.00,0.03,+0.01,18,0,0,0
SEP19,65.00,C,0.00,0.00,0.00,0.01,-,17,0,0,-
DEC19,29.00,C,0.00,0.00,0.00,18.73,+0.45,29,0,0,0
DEC19,30.00,C,0.00,0.00,0.00,17.73,+0.45,0,0,0,0
DEC19,31.00,C,0.00,0.00,0.00,16.73,+0.44,0,0,0,0
DEC19,32.00,C,0.00,0.00,0.00,15.74,+0.45,25,0,0,0
DEC19,33.00,C,0.00,0.00,0.00,14.74,+0.45,21,0,0,0
DEC19,34.00,C,0.00,0.00,0.00,13.74,+0.45,0,0,0,0
DEC19,35.00,C,0.00,0.00,0.00,12.75,+0.45,20,0,0,0
DEC19,36.00,C,0.00,0.00,0.00,11.75,+0.45,18,0,0,0
DEC19,37.00,C,0.00,0.00,0.00,10.75,+0.45,14,0,0,0
DEC19,38.00,C,0.00,0.00,0.00,9.77,+0.45,17,0,0,0
DEC19,39.00,C,0.00,0.00,0.00,8.79,+0.45,17,0,0,0
DEC19,40.00,C,0.00,0.00,0.00,7.84,+0.44,17,0,0,0
DEC19,41.00,C,0.00,0.00,0.00,6.93,+0.44,17,0,0,0
DEC19,42.00,C,0.00,0.00,0.00,6.07,+0.44,17,0,100,0
DEC19,43.00,C,0.00,0.00,0.00,5.28,+0.43,17,0,2,0
DEC19,44.00,C,0.00,0.00,0.00,4.55,+0.41,17,0,10,0
DEC19,45.00,C,0.00,0.00,0.00,3.83,+0.31,17,0,1,0
DEC19,46.00,C,0.00,0.00,0.00,3.23,+0.21,16,0,1,0
DEC19,47.00,C,0.00,0.00,0.00,2.74,+0.22,16,0,10,0
DEC19,48.00,C,0.00,0.00,0.00,2.30,+0.23,17,0,2,0
DEC19,49.00,C,0.00,0.00,0.00,1.93,+0.21,17,0,7,0
DEC19,50.00,C,1.70,1.70,1.70,1.61,+0.19,17,10,15,0
DEC19,52.50,C,0.92,0.92,0.92,0.98,+0.13,17,10,20,+10
DEC19,55.00,C,0.00,0.00,0.00,0.58,+0.10,17,0,0,0
DEC19,57.50,C,0.00,0.00,0.00,0.34,+0.08,17,0,0,0
DEC19,60.00,C,0.00,0.00,0.00,0.19,+0.06,17,0,0,0
DEC19,62.50,C,0.00,0.00,0.00,0.10,+0.03,17,0,0,0
