"HANG SENG INDEX OPTIONS DAILY MARKET REPORT (Final)"

"Hong Kong Exchanges and Clearing Limited and/or its subsidiaries endeavour to ensure the"
"accuracy and reliability of the information provided, but do not guarantee its accuracy and"
"reliability and accept no liability (whether in tort or contract or otherwise) for any loss"
"or damage arising from any inaccuracies or omissions."


"TOP 10 TRADED (BY VOLUME)",,,"VOLUME","O.Q.P. CLOSE","IV%","DAILY HIGH","DAILY LOW","OPEN INTEREST","O.Q.P. CHANGE"

P,MAR-19,28800,5864,95,13,203,75,2290,-33
C,MAR-19,29200,5828,134,12,252,80,3831,-61
C,MAR-19,29400,5331,70,12,151,43,3657,-49
P,MAR-19,29000,5107,155,13,305,118,3691,-35
C,MAR-19,29600,4142,32,12,82,21,3954,-34
C,MAR-19,29000,3858,235,12,384,147,4413,-74
P,MAR-19,28600,3813,57,14,136,49,4647,-29
P,MAR-19,28400,2713,36,16,87,32,7680,-22
C,MAR-19,29800,2571,13,12,41,10,2565,-22
P,MAR-19,29200,2264,251,12,432,183,1759,-23

"Hang Seng Index Options HK$50 per point"

,,,"Prev.BUSINESS DAY",,,,,,,,"BUSINESS DAY"
,,,"21 MAR 2019, THURSDAY ",,,,,,,,"22 MAR 2019, FRIDAY   "

,,,"After-Hours Trading Session",,,,,,,,"Day Trading Session",,,,,,"Combined"

"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","O.Q.P. CLOSE","O.Q.P. CHANGE","IV%","VOLUME","*CONTRACT HIGH","*CONTRACT LOW","VOLUME","OPEN INTEREST","CHANGE IN OI"
DEC-19,29600,P,0,0,0,0,0,0,0,0,2237,+18,16,0,3560,2524,0,253,0
DEC-19,29800,P,0,0,0,0,0,0,0,0,2355,+19,16,0,0,0,0,0,0
DEC-19,30000,P,0,0,0,0,0,0,0,0,2478,+28,16,0,5410,2418,0,922,0
DEC-19,30200,P,0,0,0,0,0,0,0,0,2621,+41,16,0,0,0,0,0,0
DEC-19,30400,P,0,0,0,0,0,0,0,0,2751,+7,16,0,3307,2630,0,322,0
DEC-19,30600,P,0,0,0,0,0,0,0,0,2885,+9,16,0,0,0,0,0,0
DEC-19,30800,P,0,0,0,0,0,0,0,0,3021,+9,16,0,0,0,0,0,0
DEC-19,31000,P,0,0,0,0,0,0,0,0,3161,+10,16,0,3635,2757,0,32,0
DEC-19,31200,P,0,0,0,0,0,0,0,0,3304,+11,16,0,0,0,0,500,0
DEC-19,31400,P,0,0,0,0,0,0,0,0,3451,+12,16,0,6010,6010,0,1,0
DEC-19,31600,P,0,0,0,0,0,0,0,0,3600,+13,16,0,0,0,0,200,0
DEC-19,31800,P,0,0,0,0,0,0,0,0,3752,+14,16,0,0,0,0,0,0
DEC-19,32000,P,0,0,0,0,0,0,0,0,3907,+15,16,0,5620,3465,0,351,0
DEC-19,32200,P,0,0,0,0,0,0,0,0,4065,+16,16,0,0,0,0,0,0
DEC-19,32400,P,0,0,0,0,0,0,0,0,4225,+16,15,0,0,0,0,0,0
DEC-19,32600,P,0,0,0,0,0,0,0,0,4388,+17,15,0,0,0,0,0,0
DEC-19,32800,P,0,0,0,0,0,0,0,0,4553,+18,15,0,0,0,0,0,0
DEC-19,33000,P,0,0,0,0,0,0,0,0,4721,+19,15,0,8000,7100,0,131,0
DEC-19,33200,P,0,0,0,0,0,0,0,0,4891,+20,15,0,0,0,0,0,0
DEC-19,33400,P,0,0,0,0,0,0,0,0,5063,+20,15,0,0,0,0,0,0
DEC-19,33600,P,0,0,0,0,0,0,0,0,5237,+21,15,0,0,0,0,0,0
DEC-19,33800,P,0,0,0,0,0,0,0,0,5413,+22,15,0,0,0,0,0,0
DEC-19,34000,P,0,0,0,0,0,0,0,0,5591,+23,15,0,5186,4695,0,0,0
DEC-19,34200,P,0,0,0,0,0,0,0,0,5770,+23,15,0,0,0,0,0,0
DEC-19,34400,P,0,0,0,0,0,0,0,0,5952,+24,15,0,6886,6883,0,8,0
DEC-19,34600,P,0,0,0,0,0,0,0,0,6134,+24,15,0,0,0,0,0,0
DEC-19,34800,P,0,0,0,0,0,0,0,0,6319,+25,15,0,8125,7166,0,2,0
DEC-19,35000,P,0,0,0,0,0,0,0,0,6504,+25,15,0,7337,7326,0,6,0
DEC-19,35200,P,0,0,0,0,0,0,0,0,6691,+26,15,0,7499,7488,0,6,0
DEC-19,35400,P,0,0,0,0,0,0,0,0,6879,+26,15,0,0,0,0,0,0
DEC-19,35600,P,0,0,0,0,0,0,0,0,7068,+27,14,0,0,0,0,0,0
DEC-19,36000,P,0,0,0,0,0,0,0,0,7450,+28,14,0,0,0,0,0,0
DEC-19,36400,P,0,0,0,0,0,0,0,0,7835,+29,14,0,0,0,0,0,0
DEC-19,36800,P,0,0,0,0,0,0,0,0,8223,+30,14,0,0,0,0,0,0
DEC-19,37000,P,0,0,0,0,0,0,0,0,8417,+30,14,0,0,0,0,0,0
DEC-19,37200,P,0,0,0,0,0,0,0,0,8613,+30,14,0,0,0,0,0,0
DEC-19,37600,P,0,0,0,0,0,0,0,0,9005,+31,14,0,0,0,0,0,0
DEC-19,38000,P,0,0,0,0,0,0,0,0,9399,+31,14,0,0,0,0,0,0
DEC-19,38400,P,0,0,0,0,0,0,0,0,9795,+32,14,0,0,0,0,0,0
DEC-19,38800,P,0,0,0,0,0,0,0,0,10191,+32,13,0,0,0,0,0,0
DEC-19,39000,P,0,0,0,0,0,0,0,0,10390,+32,14,0,0,0,0,0,0
DEC-19,39200,P,0,0,0,0,0,0,0,0,10589,+32,13,0,0,0,0,0,0
DEC-19,39600,P,0,0,0,0,0,0,0,0,10987,+33,13,0,0,0,0,0,0
DEC-19,40000,P,0,0,0,0,0,0,0,0,11385,+32,13,0,0,0,0,0,0

,,,,,"TOTAL PUT",,6,,,,,"TOTAL PUT",,"42","TOTAL PUT",,"48","29080","+35"

,,,,,,,,,,,,,,,"MONTH PUT/CALL RATIO",,1.45
,,,,,,,,,,,,,,,"MONTH TOTAL",,81,52105,+42

